title,link,date,summary
"Відео,Тисячі ведмедиків у Вашингтоні нагадали про дітей, яких вкрала Росія, Тривалість 0,52",https://www.bbc.com/ukrainian/articles/c5y91dgyxlpo,2026-04-29 00:52:00,Опис відсутній
"Відео,Мобілізація з даху - що відбулося на Волині?, Тривалість 1,43",https://www.bbc.com/ukrainian/articles/cq59nyd3235o,2026-04-29 01:43:00,Опис відсутній
"Відео,У Туапсе в РФ падають “нафтові дощі”. А НПЗ ще горить після удару дронів, Тривалість 1,35",https://www.bbc.com/ukrainian/articles/c1d9wqyy263o,2026-04-29 01:35:00,Опис відсутній
"Відео,Поліцейська Анна Дудіна не визнала в суді, що втекла від пострілів, Тривалість 1,28",https://www.bbc.com/ukrainian/articles/c2d8wdpgnd4o,2026-04-29 01:28:00,Опис відсутній
